,Order,POSITION,SINGLE.CLUMP,Date,Timepoint,Treatment,Zoox,Tank,Replicate,Plate,Well,Mom,Dad,Family,Genetic,Recruit,Survival.T1,Condition
188,8068,centre flat,s,25/02/2019,T8,26,C1,2,2,16,2,CU,SB,CUxSB,CrossAmbo,2.16.2.1,2,1
189,366,centre flat,s,30/12/2019,T1,26,C1,2,2,16,3,CU,SB,CUxSB,CrossAmbo,2.16.3.1,2,1
190,8074,centre flat,s,25/02/2019,T8,26,C1,2,2,16,3,CU,SB,CUxSB,CrossAmbo,2.16.3.1,2,1
191,367,centre flat,s,30/12/2019,T1,26,C1,2,2,16,6,SB,BK,SBxBK,CrossAmbo,2.16.6.1,2,1
192,8075,centre flat,s,25/02/2019,T8,26,C1,2,2,16,6,SB,BK,SBxBK,CrossAmbo,2.16.6.1,2,1
193,261,centre flat,s,30/12/2019,T1,26,C1,2,2,19,1,BK,CU,BKxCU,CrossAmbo,2.19.1.1,2,2
194,7968,centre flat,s,25/02/2019,T8,26,C1,2,2,19,1,BK,CU,BKxCU,CrossAmbo,2.19.1.1,1,0
195,262,centre flat,s,30/12/2019,T1,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.1,2,1
196,7969,centre flat,s,25/02/2019,T8,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.1,1,0
197,263,centre flat,s,30/12/2019,T1,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.2,2,1
198,7970,centre flat,s,25/02/2019,T8,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.2,2,1
199,264,centre raised ,s,30/12/2019,T1,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.3,2,1
200,7971,centre raised ,s,25/02/2019,T8,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.3,2,1
201,265,edge raised,s,30/12/2019,T1,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.4,2,1
202,7972,edge raised,s,25/02/2019,T8,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.4,2,1
203,266,edge raised,s,30/12/2019,T1,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.5,2,1
204,7973,edge raised,s,25/02/2019,T8,26,C1,2,2,19,4,LS,BK,LSxBK,CrossAmbo,2.19.4.5,2,1
