order,Date,Time,Cumulative.hrs,Timepoint,Treatment,Treatment,Boat,Parentage,Well,Alive,Perc_surv,Mom,Dad,Cone,NumParents,Parents,Avg.temp,Max.temp,Variab.temp,symb,bleaching.thresHughes,heat.rateMiddlebrook,lifestage,n.risk,n.event,n.censor,estimate,std.error,conf.high,conf.low,Zoox,Tank,TotalMom,TotalDad
74,7.12.18,8:30,56,4,35.5C,Hot,102,SBxCU,wellB,13,65,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
75,7.12.18,8:30,56,4,35.5C,Hot,102,SBxCU,wellC,13,65,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
76,7.12.18,8:30,56,4,35.5C,Hot,102,SBxCU,wellD,9,45,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
77,7.12.18,8:30,56,4,35.5C,Hot,102,SBxCU,wellE,9,45,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
78,7.12.18,8:30,56,4,35.5C,Hot,102,SBxCU,wellF,16,80,Sand Bank 7,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
79,7.12.18,8:30,56,4,35.5C,Hot,103,SBxBK,wellA,17,85,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
80,7.12.18,8:30,56,4,35.5C,Hot,103,SBxBK,wellB,18,90,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
81,7.12.18,8:30,56,4,35.5C,Hot,103,SBxBK,wellC,15,75,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
82,7.12.18,8:30,56,4,35.5C,Hot,103,SBxBK,wellD,15,75,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
83,7.12.18,8:30,56,4,35.5C,Hot,103,SBxBK,wellE,14,70,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
84,7.12.18,8:30,56,4,35.5C,Hot,103,SBxBK,wellF,19,95,Sand Bank 7,Backnumbers,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,7
85,7.12.18,8:30,56,4,35.5C,Hot,104,SBxLS,wellA,7,35,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
86,7.12.18,8:30,56,4,35.5C,Hot,104,SBxLS,wellB,13,65,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
87,7.12.18,8:30,56,4,35.5C,Hot,104,SBxLS,wellC,13,65,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
88,7.12.18,8:30,56,4,35.5C,Hot,104,SBxLS,wellD,NA,NA,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
89,7.12.18,8:30,56,4,35.5C,Hot,104,SBxLS,wellE,16,80,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
90,7.12.18,8:30,56,4,35.5C,Hot,104,SBxLS,wellF,12,60,Sand Bank 7,Long Sandy,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,4
91,7.12.18,8:30,56,4,35.5C,Hot,105,SBxSB,wellA,12,60,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
92,7.12.18,8:30,56,4,35.5C,Hot,105,SBxSB,wellB,8,40,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
93,7.12.18,8:30,56,4,35.5C,Hot,105,SBxSB,wellC,5,25,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
94,7.12.18,8:30,56,4,35.5C,Hot,105,SBxSB,wellD,7,35,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
95,7.12.18,8:30,56,4,35.5C,Hot,105,SBxSB,wellE,7,35,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
96,7.12.18,8:30,56,4,35.5C,Hot,105,SBxSB,wellF,1,5,Sand Bank 7,Sand Bank 7,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,5,6
97,7.12.18,8:30,56,4,35.5C,Hot,108,LSxCU,wellA,14,70,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
98,7.12.18,8:30,56,4,35.5C,Hot,108,LSxCU,wellB,10,50,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
99,7.12.18,8:30,56,4,35.5C,Hot,108,LSxCU,wellC,8,40,Long Sandy,Curd,NA,NA,NA,NA,NA,NA,NA,NA,NA,larvae,,,,,,,,,,3,2
